,Target
627,1
628,1
630,1
631,0
632,1
633,1
635,1
636,0
637,0
642,1
644,1
647,1
650,1
651,0
653,1
654,0
656,1
657,1
658,0
660,0
663,1
666,1
667,1
669,0
670,1
671,1
672,1
674,1
675,1
679,1
680,1
681,0
686,1
687,0
688,0
689,0
690,0
691,1
697,0
699,0
702,1
703,0
705,0
706,0
708,1
709,0
710,1
711,1
714,1
715,0
716,0
718,0
719,0
722,1
723,0
724,0
728,0
733,0
734,1
735,1
736,0
737,0
738,0
739,0
741,0
744,0
745,1
746,1
749,1
750,1
751,1
753,0
755,1
756,0
757,0
758,1
759,1
761,0
762,1
764,1
765,1
766,1
767,0
768,0
769,1
772,1
773,1
774,1
776,1
777,1
778,1
779,1
780,0
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,0
789,0
790,0
791,1
792,1
793,1
794,0
799,1
801,0
802,1
806,1
807,1
810,1
811,0
812,0
814,1
816,0
817,1
818,1
819,1
820,0
822,1
824,1
826,1
828,1
830,1
835,1
837,0
838,0
839,1
840,1
841,0
842,1
843,1
844,1
846,1
847,0
848,1
852,1
854,0
855,0
856,1
857,0
858,1
860,0
862,1
864,0
866,1
867,1
868,1
869,1
871,1
872,1
874,1
875,1
876,1
877,1
879,1
880,1
881,0
882,1
884,1
888,1
891,0
892,0
893,0
894,0
896,1
900,1
903,1
905,1
908,0
909,1
911,1
913,0
915,0
917,0
918,1
921,0
923,1
924,1
925,0
926,0
928,1
929,1
934,1
935,0
936,0
938,1
939,0
940,1
943,1
944,1
945,1
946,0
949,1
950,1
951,0
952,0
957,1
958,1
959,1
962,0
964,1
965,1
966,1
967,1
969,1
970,0
972,1
973,1
974,1
978,1
979,1
984,0
985,1
986,0
987,0
991,1
993,0
994,1
995,1
997,0
998,1
1002,1
1005,1
1009,1
1011,1
1013,1
1014,0
1016,1
1018,1
1022,0
1023,1
1026,0
1028,1
1029,0
1032,1
1033,0
1036,0
1037,1
1038,1
1041,1
1042,0
1043,0
1045,1
1047,0
1049,0
1053,0
1054,0
1056,1
1057,1
1058,1
1059,1
1062,0
1063,1
1064,1
1066,1
1073,1
1074,1
1075,1
1077,1
1078,1
1079,1
1082,0
1083,1
1084,1
1086,0
1088,0
1089,1
1090,0
1091,1
1093,1
1094,0
1095,0
1096,0
1098,1
1100,1
1101,1
1102,1
1103,1
1106,1
1107,1
1110,0
1112,0
1113,0
1119,0
1120,1
1121,1
1122,0
1123,0
1124,0
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,0
1134,0
1136,0
1139,1
1140,1
1141,0
1142,1
1144,0
1147,1
1148,1
1149,0
1151,0
1153,1
1156,1
1157,0
1160,0
1161,1
1163,1
1165,0
1166,0
1168,1
1170,0
1175,0
1182,1
1183,1
1184,1
1186,0
1187,0
1190,0
1191,1
1192,1
1194,1
1196,1
1197,1
1198,0
1199,1
1200,1
1202,0
1203,1
1204,0
1208,0
1209,1
1210,1
1212,1
1213,1
1216,1
1219,0
1220,0
1224,0
1225,1
1226,0
1227,1
1228,1
1234,0
1235,1
1236,1
1242,1
1245,1
1247,0
1248,1
1249,0
1250,0
1252,0
1254,1
1256,1
1257,1
1261,1
1262,0
1265,1
1266,1
1268,0
1271,1
1272,1
1273,1
1274,1
1276,1
1278,0
1281,1
1282,1
1283,1
1284,1
1286,0
1287,1
1289,1
1291,1
1292,1
1293,0
1294,1
1296,1
1298,0
1299,0
1300,1
1301,0
1302,1
1303,1
1305,1
1306,1
1308,0
1309,0
1310,1
1311,1
1312,1
1316,0
1317,1
1319,1
1320,0
1321,1
1322,1
1324,1
1325,0
1326,1
1327,1
1328,0
1329,1
1330,1
1331,1
1334,0
1336,0
1337,1
1339,1
1342,1
1343,1
1344,1
1345,1
1346,0
1347,1
1348,0
1349,1
1353,0
1354,0
1355,0
1356,1
1359,1
1360,0
1361,1
1363,0
1364,0
1365,1
1366,1
1368,0
1369,1
1371,0
1372,0
1374,1
1376,1
1377,1
1379,1
1381,0
1382,1
1385,0
1386,0
1387,1
1389,1
1390,1
1391,0
1394,0
1395,0
1396,1
1397,1
1399,1
1406,1
1408,1
1410,0
1412,0
1414,0
1415,0
1416,0
1418,0
1419,0
1421,0
1423,1
1425,0
1427,0
1428,0
1429,1
1430,0
1431,0
1432,1
1433,0
1434,0
1437,0
1439,1
1440,0
1443,1
1448,0
1449,1
1450,1
1451,0
1453,1
1454,1
1455,1
1457,0
1458,1
1461,0
1463,1
1464,0
1465,1
1469,1
1470,0
1472,1
1473,0
1474,1
1476,1
1477,1
1481,1
1483,0
1485,0
1486,1
1490,0
1492,0
1493,0
1494,1
1499,1
1501,1
1502,1
1506,1
1507,1
1509,1
1511,0
1512,0
1515,1
1519,1
1522,1
1523,1
1524,1
1525,1
1529,1
1530,0
1533,1
1534,0
1535,1
1536,1
1538,1
1539,1
1540,1
1541,1
1543,1
1545,0
1546,1
1549,0
1550,0
1551,1
1553,1
1556,1
1557,1
1558,0
1559,0
1561,0
1564,0
1566,0
1567,1
1569,1
1571,1
1572,1
1575,1
1576,0
1577,1
1581,0
1582,1
1583,0
1584,1
1586,1
1587,0
1589,1
1590,1
1591,1
1593,0
1594,1
1595,1
1597,1
1599,1
1602,0
1603,1
1606,1
1608,1
1609,1
1610,1
1613,1
1619,1
1621,1
1622,1
1623,0
1624,1
1625,1
1627,1
1639,0
1645,1
1651,0
1652,1
1654,1
1659,1
1660,1
1662,1
1663,1
1664,1
1668,1
1669,0
1671,1
1674,1
1676,1
1677,1
1680,1
1683,1
1684,0
1685,1
1687,0
1688,1
1690,1
1691,1
1692,0
1693,1
1694,1
1697,0
1698,1
1701,1
1703,1
1707,0
1711,0
1712,0
1714,1
1716,1
1719,1
1720,0
1723,1
1724,1
1725,1
1727,0
1728,1
1729,0
1730,0
1733,0
1735,1
1736,0
1737,1
1738,1
1739,0
1740,0
1742,0
1743,1
1744,1
1745,1
1746,0
1748,1
1749,0
1754,1
1758,1
1759,1
1760,0
1761,0
1762,0
1763,0
1765,1
1766,1
1769,1
1771,0
1772,1
1775,1
1776,0
1778,1
1781,1
1782,1
1783,1
1784,1
1785,1
1786,0
1793,1
1794,0
1796,1
1797,1
1799,0
1800,0
1804,0
1805,0
1807,1
1809,1
1812,0
1817,1
1819,0
1821,0
1823,1
1825,1
1830,1
1833,0
1834,1
1835,1
1836,1
1837,0
1839,0
1844,1
1846,1
1849,1
1851,1
1852,1
1853,1
1854,1
1855,0
1856,1
1857,1
1859,1
1860,1
1861,0
1862,1
1864,1
1866,0
1868,1
1869,0
1870,1
1871,1
1872,0
1875,1
1878,0
1883,1
1884,1
1885,1
1891,1
1892,0
1893,1
1894,1
1895,1
1897,1
1900,1
1901,1
1902,1
1904,0
1905,1
1907,0
1908,0
1911,1
1912,0
1916,1
1917,0
1918,1
1919,0
1920,1
1923,1
1927,0
1931,1
1932,1
1933,1
1937,1
1938,1
1939,1
1940,1
1942,1
1943,1
1944,1
1947,1
1948,1
1950,0
1952,0
1954,0
1960,0
1962,0
1964,0
1966,1
1969,1
1970,0
1972,1
1973,0
1974,1
1978,1
1980,1
1981,1
1984,1
1985,0
1993,1
1994,1
1997,1
2001,0
2002,1
2003,0
2009,1
2012,1
2017,0
2020,1
2022,1
2024,0
2026,0
2027,1
2028,1
2030,1
2031,1
2032,1
2035,1
2036,0
2039,1
2040,1
2043,1
2044,0
2047,0
2050,1
2051,1
2054,1
2056,0
2060,0
2063,1
2064,0
2065,0
2066,1
2067,1
2069,1
2071,0
2075,0
2076,1
2080,1
2082,1
2083,0
2084,0
2085,1
2087,1
2089,0
2090,1
2091,0
2092,1
2093,0
2096,1
2097,0
2098,1
2100,1
2103,0
2105,1
2108,1
2109,1
2115,0
2117,1
2118,1
2121,1
2124,0
2125,0
2126,0
2128,1
2131,0
2135,1
2136,1
2137,0
2138,1
2141,0
2145,1
2148,1
2151,1
2152,1
2155,1
2158,0
2164,1
2168,1
2170,0
2172,1
2177,1
2178,1
2179,1
2181,0
2183,1
2185,1
2186,1
2187,1
2188,0
2189,1
2191,1
2195,1
2196,1
2198,0
2199,1
2200,0
2203,1
2204,1
2206,1
2207,1
2209,0
2210,1
2212,0
2213,0
2215,1
2216,1
2217,1
2222,0
2223,0
2224,0
2226,1
2227,1
2228,0
2230,1
2232,0
2234,0
2235,0
2236,1
2239,1
2241,1
2242,0
2243,1
2245,1
2248,0
2249,1
2250,0
2251,0
2253,0
2254,1
2258,0
2260,0
2261,1
2262,0
2263,0
2267,1
2271,1
2274,1
2275,0
2279,0
2283,1
2285,1
2286,1
2288,0
2291,0
2293,1
2294,1
2299,0
2301,1
2303,1
2305,0
2306,0
2310,1
2311,1
2314,0
2315,1
2318,1
2319,1
2322,0
2323,1
2324,1
2326,0
2327,0
2328,0
2329,0
2330,1
2335,1
2337,1
2340,1
2343,1
2344,1
2347,0
2348,1
2349,0
2350,0
2351,1
2353,1
2356,1
2358,0
2363,1
2364,1
2368,1
2369,0
2370,0
2372,1
2374,0
2375,1
2377,0
2378,1
2379,1
2380,1
2382,1
2383,0
2384,0
2386,1
2388,1
2389,0
2391,1
2397,0
2401,1
2403,1
2405,1
2406,1
2407,0
2409,0
2410,1
2411,0
2417,1
2419,1
2420,0
2423,1
2424,1
2427,0
2428,1
2429,0
2430,1
2431,1
2432,0
2436,0
2437,1
2438,0
2439,0
2441,0
2442,1
2445,1
2448,0
2449,0
2450,0
2451,1
2452,1
2456,0
2457,0
2461,1
2465,1
2466,1
2467,0
2469,1
2470,1
2471,1
2472,1
2473,0
2477,1
2480,1
2482,1
2485,1
2487,1
2488,0
2489,0
2491,1
2494,1
2495,1
2499,1
2501,1
2503,1
2504,0
2506,0
2508,0
2510,1
2511,1
2512,1
2514,0
2519,0
2521,0
2523,0
2526,1
2527,0
2528,1
2529,1
2531,1
2532,0
2536,1
2537,0
2538,0
2539,1
2540,1
2541,1
2543,1
2544,0
2545,1
2546,0
2547,1
2549,0
2551,1
2554,1
2555,1
2557,0
2558,1
2560,1
2562,0
2564,0
2565,0
2567,1
2571,1
2572,0
2573,0
2575,1
2576,0
2577,1
2579,1
2580,1
2582,1
2584,1
2585,1
2586,0
2588,1
2589,1
2593,0
2594,1
2595,0
2596,1
2602,1
2603,0
2604,1
2606,1
2607,1
2609,1
2611,1
2613,0
2615,0
2617,1
2618,1
2619,0
2620,0
2622,0
2623,1
2624,0
2625,0
2627,0
2629,0
2630,1
2631,1
2634,0
2635,1
2637,1
2641,1
2645,0
2646,0
2649,1
2650,1
2652,1
2656,1
2658,0
2659,1
2661,0
2663,1
2664,1
2665,1
2667,1
2673,1
2676,1
2677,1
2678,1
2679,1
2682,1
2683,1
2684,1
2688,0
2691,0
2692,1
2693,0
2694,0
2696,0
2698,0
2699,0
2701,0
2704,0
2706,1
2708,0
2710,0
2714,0
2716,0
2717,1
2718,0
2719,1
2722,1
2723,1
2726,0
2727,1
2731,1
2732,1
2733,1
2734,0
2736,0
2739,1
2740,0
2741,0
2742,0
2744,1
2747,1
2749,0
2753,0
2754,0
2755,1
2756,0
2757,0
2761,1
2763,1
2764,1
2768,1
2770,1
2771,0
2772,0
2773,0
2775,1
2776,0
2781,1
2784,1
2786,0
2787,1
2788,1
2789,0
2790,1
2791,0
2793,0
2795,1
2796,0
2797,1
2800,1
2801,0
2802,1
2805,0
2806,1
2809,0
2811,1
2812,1
2814,0
2815,1
2817,1
2822,1
2823,1
2824,0
2825,1
2829,0
2831,0
2832,1
2833,1
2834,0
2837,1
2838,1
2843,0
2846,1
2847,1
2848,0
2852,1
2853,1
2854,1
2857,1
2861,1
2862,0
2863,1
2868,1
2870,0
2871,1
2874,1
2877,1
2878,1
2881,0
2882,0
2883,0
2888,1
2892,1
2895,0
2897,0
2900,0
2901,1
2902,0
2903,1
2904,0
2905,1
2908,0
2910,1
2911,0
2912,1
2914,1
2915,1
2916,1
2917,0
2919,0
2922,1
2923,0
2925,0
2928,1
2930,1
2932,0
2934,1
2936,1
2937,1
2938,1
2939,1
2942,1
2943,1
2945,0
2946,1
2948,0
2949,1
2950,0
2951,1
2952,1
2954,1
2955,0
2959,1
2963,0
2964,1
2965,1
2968,0
2971,1
2973,0
2974,1
2975,0
2977,0
2978,1
2979,1
2980,0
2983,1
2985,1
2988,1
2992,1
2993,1
2994,1
2997,1
2998,0
3001,1
3002,0
3003,1
3005,1
3007,0
3009,1
3011,1
3012,1
3017,1
3018,1
3019,0
3020,1
3022,0
3023,1
3027,1
3031,0
3034,1
3035,0
3039,1
3040,1
3041,1
3043,1
3045,1
3046,1
3048,1
3049,1
3052,1
3053,1
3055,0
3057,0
3058,1
3059,1
3061,1
3065,0
3067,0
3068,1
3071,0
3073,0
3074,0
3075,1
3076,1
3079,0
3080,0
3081,1
3082,1
3083,1
3089,1
3091,1
3093,1
3095,1
3096,1
3098,1
3100,1
3103,1
3106,0
3109,1
3110,0
3111,1
3112,0
3113,1
3114,0
3119,1
3121,0
3123,1
3127,1
3129,0
3131,0
3132,0
3133,1
3134,0
3135,0
3139,1
3140,1
3141,1
3143,0
3144,1
3145,0
3147,0
3148,1
3150,1
3151,1
3156,0
3159,0
3160,0
3161,0
3162,1
3163,1
3165,0
3166,1
3169,1
3170,1
3172,1
3174,0
3175,1
3176,0
3180,1
3181,0
3182,0
3185,0
3186,1
3190,1
3198,1
3200,0
3201,1
3202,1
3205,1
3209,1
3210,1
3211,1
3213,0
3214,0
3215,1
3221,0
3223,1
3225,0
3227,0
3228,1
3234,1
3235,1
3236,1
3238,1
3239,1
3240,1
3241,0
3244,1
3246,1
3247,0
3248,0
3251,0
3252,1
3255,0
3256,1
3259,1
3267,1
3271,1
3273,1
3274,0
3275,0
3278,1
3279,0
3280,1
3281,1
3283,0
3284,1
3286,1
3288,0
3289,1
3290,0
3292,1
3293,1
3300,0
3303,1
3306,0
3307,0
3310,0
3312,1
3313,0
3314,0
3316,1
3319,1
3322,1
3324,1
3326,1
3327,1
3329,0
3332,1
3333,1
3335,0
3336,0
3339,0
3340,1
3342,0
3345,1
3348,1
3349,0
3351,0
3352,1
3356,0
3357,1
3358,0
3360,0
3361,1
3365,0
3366,0
3368,1
3370,0
3371,0
3377,1
3379,0
3382,1
3383,1
3386,0
3388,0
3389,1
3390,1
3391,1
3392,0
3393,0
3394,1
3395,0
3396,1
3397,0
3398,1
3399,0
3400,1
3402,1
3403,1
3405,0
3406,0
3407,1
3411,1
3412,0
3413,1
3414,1
3417,1
3422,0
3423,1
3424,0
3428,0
3431,1
3432,1
3433,0
3434,1
3435,1
3441,1
3443,1
3444,0
3448,0
3449,0
3450,1
3451,1
3453,0
3454,0
3455,1
3456,0
3457,1
3460,1
3461,1
3465,1
3467,1
3468,1
3471,1
3474,1
3475,0
3481,1
3482,0
3483,1
3486,1
3487,1
3491,0
3493,1
3494,1
3495,0
3496,1
3499,0
3503,1
3507,1
3509,1
3510,1
3514,1
3516,0
3518,1
3520,0
3522,1
3523,0
3524,0
3527,1
3529,1
3532,1
3534,0
3535,1
3536,0
3537,1
3540,1
3541,0
3542,1
3543,1
3546,0
3547,1
3549,0
3550,0
3551,1
3552,1
3559,1
3561,0
3563,0
3565,1
3569,0
3570,0
3574,0
3577,0
3578,1
3579,0
3583,1
3584,0
3592,0
3593,0
3595,1
3598,1
3602,1
3608,1
3611,1
3618,0
3620,1
3624,0
3626,1
3632,0
3633,1
3636,0
3637,1
3639,0
3641,1
3642,1
3644,1
3646,0
3647,0
3650,1
3651,1
3652,0
3655,0
3657,0
3659,0
3663,1
3666,1
3668,0
3672,1
3675,1
3676,1
3680,1
3682,0
3685,1
3686,1
3687,1
3689,0
3690,1
3692,0
3693,0
3694,0
3698,1
3706,1
3707,1
3708,0
3709,0
3710,1
3715,1
3716,0
3719,1
3721,0
3723,1
3724,0
3726,1
3728,1
3731,1
3732,1
3733,1
3734,0
3736,1
3737,0
3738,1
3739,0
3740,1
3743,1
3746,0
3748,1
3749,1
3750,1
3753,1
3759,1
3760,1
3764,1
3767,0
3768,1
3770,1
3772,0
3774,1
3777,1
3779,0
3787,1
3789,1
3790,1
3796,1
3798,1
3800,1
3804,1
3805,0
3810,0
3812,1
3813,1
3814,0
3818,1
3819,1
3820,0
3823,0
3826,1
3829,0
3833,1
3836,1
3839,1
3842,0
3845,0
3847,0
3849,1
3853,1
3855,1
3856,0
3857,1
3860,0
3867,1
3869,1
3872,1
3873,1
3874,0
3880,0
3883,1
3885,0
3890,1
3895,0
3897,0
3899,0
3904,0
3908,1
3909,1
3911,0
3912,1
3917,0
3918,1
3921,1
3922,0
3923,1
3924,1
3925,1
3928,0
3935,0
3936,1
3942,0
3945,0
3953,1
3955,0
3956,1
3957,0
3958,0
3960,0
3964,1
3966,0
3968,1
3969,1
3970,0
3976,1
3977,1
3980,1
3983,0
3986,1
3988,0
3989,1
3990,1
3991,1
3992,1
3994,1
3996,1
3998,1
4000,0
4001,0
4003,0
4009,1
4013,0
4014,1
4016,0
4018,1
4022,1
4024,0
4028,1
4033,0
4035,0
4036,1
4037,0
4038,0
4040,1
4041,0
4042,1
4043,0
4044,0
4047,1
4052,0
4053,1
4057,1
4060,0
4061,0
4063,1
4065,1
4067,0
4074,1
4077,1
4078,0
4086,1
4091,1
4097,0
4099,1
4102,1
4104,0
4105,1
4106,1
4108,0
4110,1
4114,0
4116,0
4118,0
4122,0
4123,1
4125,0
4130,1
4134,1
4135,0
4137,0
4138,0
4139,0
4140,0
4141,1
4143,1
4148,1
4150,0
4153,1
4154,0
4156,0
4157,1
4158,0
4161,0
4162,1
4163,1
4165,1
4168,1
4170,1
4173,1
4175,1
4183,1
4185,1
4186,0
4191,0
4192,1
4195,1
4196,1
4198,1
4202,0
4205,1
4207,0
4211,1
4213,0
4237,0
4240,1
4245,1
4246,1
4247,1
4250,0
4253,0
4254,0
4259,1
4261,0
4262,1
4264,1
4266,0
4267,0
4270,0
4273,0
4277,1
4284,1
4285,1
4289,1
4294,0
4296,1
4297,1
4298,1
4299,0
4300,0
4303,1
4304,1
4312,1
4313,0
4319,1
4321,0
4322,0
4327,0
4328,1
4331,0
4337,1
4341,1
4343,0
4348,0
4352,1
4357,0
4358,1
4360,0
4362,1
4363,1
4365,0
4366,1
4367,1
4368,1
4375,1
4377,1
4378,0
4381,0
4383,0
4385,1
4386,0
4388,0
4390,1
4393,0
4395,1
4398,0
4399,1
4402,1
4406,1
4407,0
4408,1
4410,1
4411,0
4415,1
4420,1
4422,1
4428,0
4429,1
4430,1
4434,0
4437,1
4438,1
4439,0
4440,0
4444,1
4450,1
4457,1
4459,0
4463,0
4466,0
4478,0
4481,1
4483,1
4487,1
4489,1
4490,1
4491,0
4492,1
4494,1
4500,0
4505,1
4506,1
4510,0
4514,0
4517,1
4522,1
4525,1
4527,1
4531,1
4533,1
4536,1
4539,0
4540,1
4546,1
4555,0
4556,0
4566,0
4569,1
4570,1
4572,1
4573,0
4575,0
4578,0
4582,1
4583,1
4585,0
4587,1
4589,0
4590,1
4591,1
4594,1
4599,1
4603,1
4605,1
4610,1
4614,1
4615,1
4621,0
4623,0
4624,1
4628,0
4631,1
4632,1
4638,1
4641,1
4643,1
4644,1
4646,1
4647,0
4649,1
4651,0
4652,0
4653,0
4654,1
4660,1
4665,1
4667,1
4669,0
4670,0
4675,1
4676,1
4681,1
4683,0
4685,1
4687,1
4695,0
4696,1
4702,1
4703,1
4704,1
4706,1
4709,1
4714,0
4715,0
4716,1
4718,0
4719,1
4723,0
4724,0
4725,1
4726,0
4729,1
4737,1
4744,0
4745,1
4746,1
4753,1
4754,1
4755,1
4756,0
4757,1
4761,1
4762,0
4765,1
4770,1
4777,0
4779,0
4781,0
4782,1
4783,0
4786,0
4788,1
4789,0
4794,1
4797,1
4798,1
4801,1
4803,0
4804,1
4807,0
4808,0
4809,0
4812,1
4813,0
4818,0
4819,0
4820,1
4821,1
4823,1
4824,0
4825,0
4829,0
4831,0
4834,1
4835,0
4836,1
4841,1
4843,1
4844,1
4845,1
4853,1
4854,1
4855,1
4856,1
4864,0
4873,1
4878,1
4883,0
4884,0
4886,1
4888,1
4890,1
4891,1
4893,0
4894,1
4895,1
4896,0
4897,0
4901,0
4902,1
4903,0
4908,1
4909,1
4918,1
4921,0
4923,0
4924,1
4931,0
4932,1
4934,1
4935,1
4937,0
4944,1
4947,1
4952,1
4954,1
4957,1
4960,1
4963,0
4964,1
4968,0
4975,0
4978,1
4982,1
4987,0
4989,1
4992,0
4993,0
4996,0
5000,0
5005,0
5006,0
5007,1
5011,0
5012,1
5013,1
5015,1
5016,0
5018,1
5019,0
5024,1
5027,1
5030,1
5036,1
5037,1
5038,0
5040,0
5042,1
5043,0
5045,0
5046,0
5047,1
5054,1
5057,1
5060,1
5065,1
5067,1
5068,0
5069,0
5073,1
5075,1
5076,1
5078,1
5079,1
5081,0
5084,1
5090,1
5091,0
5096,1
5100,1
5101,0
5102,1
5103,1
5111,0
5115,1
5116,1
5117,0
5121,1
5124,0
5126,0
5129,0
5131,1
5132,0
5133,1
5136,1
5142,1
5145,1
5148,1
5155,0
5156,1
5157,1
5159,1
5161,1
5167,1
5170,0
5172,1
5173,0
5175,1
5177,1
5179,1
5182,1
5183,1
5186,1
5189,0
5190,0
5191,0
5192,1
5194,1
5208,1
5213,0
5220,0
5221,1
5222,1
5223,1
5233,1
5236,1
5237,1
5238,0
5247,1
5249,1
5252,0
5254,1
5255,1
5256,1
5259,1
5262,1
5263,1
5264,1
5265,0
5274,0
5276,1
5279,1
5282,0
5283,1
5286,1
5287,0
5293,1
5296,1
5299,1
5306,1
5308,0
5309,1
5310,1
5323,1
5324,0
5325,0
5328,0
5329,1
5330,0
5332,0
5334,1
5335,1
5338,0
5340,1
5341,1
5343,0
5347,1
5348,1
5349,1
5350,1
5359,1
5362,1
5363,1
5368,1
5371,0
5373,0
5378,1
5379,1
5380,1
5383,0
5384,1
5386,0
5397,1
5399,1
5400,0
5402,0
5404,1
5406,1
5409,1
5410,1
5412,1
5414,1
5415,0
5416,1
5417,0
5418,1
5422,1
5424,0
5435,1
5436,0
5438,1
5440,1
5444,1
5445,1
5446,0
5447,0
5448,0
5450,1
5451,0
5453,1
5455,1
5456,1
5457,0
5459,1
5460,0
5461,1
5466,1
5471,0
5477,1
5480,1
5481,0
5482,1
5483,1
5484,0
5486,0
5488,0
5490,0
5492,1
5494,1
5497,1
5498,0
5501,1
5506,0
5514,1
5516,1
5518,1
5519,1
5520,0
5521,1
5522,0
5523,0
5526,1
5534,1
5536,0
5539,1
5543,1
5552,1
5556,1
5557,0
5559,0
5563,0
5564,1
5565,1
5566,0
5567,0
5568,0
5575,0
5576,1
5577,1
5578,1
5588,1
5589,0
5590,1
5594,1
5595,0
5598,1
5601,0
5603,1
5604,0
5605,1
5607,0
5609,1
5611,1
5612,1
5613,1
5614,1
5615,1
5619,1
5620,0
5621,0
5623,0
5624,0
5629,0
5632,1
5634,1
5643,1
5646,1
5650,1
5651,1
5652,1
5654,1
5655,0
5656,1
5661,0
5665,0
5670,1
5671,1
5673,0
5677,1
5678,0
5680,1
5684,1
5688,1
5691,1
5695,1
5696,1
5700,1
5706,1
5707,0
5711,1
5712,0
5713,0
5714,1
5715,1
5719,0
5723,0
5727,1
5728,1
5733,0
5734,1
5735,1
5736,1
5738,0
5750,0
5751,0
5754,0
5755,1
5756,0
5757,1
5760,1
5761,1
5765,1
5766,1
5768,1
5769,1
5770,1
5773,0
5781,0
5784,0
5785,0
5786,1
5788,1
5790,0
5791,1
5792,0
5793,0
5800,1
5801,0
5805,0
5806,1
5808,1
5810,0
5813,1
5817,1
5818,1
5823,1
5826,1
5829,1
5830,0
5836,0
5837,1
5839,0
5840,0
5841,1
5844,0
5847,1
5850,0
5851,0
5852,1
5854,0
5857,1
5858,1
5860,0
5861,1
5865,1
5866,1
5867,1
5868,0
5869,1
5870,0
5876,1
5877,1
5879,1
5880,1
5881,0
5885,1
5887,0
5888,0
5892,1
5895,1
5896,0
5899,1
5905,0
5913,1
5915,1
5916,0
5918,1
5920,1
5921,0
5923,1
5927,0
5935,0
5938,1
5942,0
5947,0
5949,0
5952,0
5953,1
5954,1
5957,1
5964,1
5969,0
5971,1
5972,1
5974,1
5975,1
5976,1
5981,0
5987,0
5993,0
6003,1
6004,1
6005,1
6006,0
6009,0
6011,1
6013,0
6017,1
6018,1
6020,0
6023,0
6024,1
6025,0
6027,0
6028,0
6029,1
6030,1
6035,0
6037,1
6039,1
6048,1
6050,1
6051,0
6053,1
6055,1
6056,0
6057,0
6058,0
6067,1
6068,1
6074,1
6078,1
6080,1
6084,0
6087,1
6088,1
6097,1
6098,1
6101,0
6104,0
6106,1
6111,0
6114,0
6115,1
6118,1
6121,1
6124,1
6128,1
6129,0
6130,1
6133,1
6134,1
6135,0
6139,0
6145,0
6146,1
6147,1
6148,1
6156,0
6157,1
6160,1
